"duration","deaths","area","gdp","country","lat","lon","Began","Ended","dismagvalue","lm_USD","rf_USD","xgb_USD","svr_USD","brnn_USD","knn_USD"
1,26,92650,57937868670,"Algeria",NA,NA,"1985/01/09","1985/01/09",92650,3976000,9886000,6480000,17134000,4252000,3737000
1,54,12850,34961565263,"Philippines (the)",NA,NA,"1985/01/26","1985/01/26",12850,4988000,4599000,6422000,5625000,4766000,1445000
1,21,16540,85289491747,"Indonesia",NA,NA,"1985/02/04","1985/02/04",16540,7179000,10137000,7317000,11036000,5915000,7859000
1,4,7870,24679795396,"New Zealand",NA,NA,"1985/02/17","1985/02/17",7870,1020000,861000,1728000,2236000,949000,1080000
1,10,77090,85289491747,"Indonesia",NA,NA,"1985/02/19","1985/02/19",77090,3717000,10170000,5828000,18730000,3395000,4794000
1,4,26270,4.34e+12,"United States of America (the)",NA,NA,"1985/03/03","1985/03/03",26270,144106000,132493000,303959000,498589000,132124000,131280000
1,1,17190,4.34e+12,"United States of America (the)",NA,NA,"1985/04/11","1985/04/11",17190,76727000,152667000,259443000,582967000,110457000,107125000
1,25,78650,88416668900,"Argentina",NA,NA,"1985/05/30","1985/05/30",78650,6128000,47841000,10378000,23834000,6317000,3818000
1,95,254240,2.33e+11,"India",NA,NA,"1985/06/23","1985/06/23",254240,25786000,139108000,34849000,121134000,53034000,113220000
1,27,404,22278423077,"Bangladesh",NA,NA,"1985/07/05","1985/07/05",404,4184000,10264000,7912000,12978000,3371000,5808000
1,12,15150,69386774408,"Austria",NA,NA,"1985/08/07","1985/08/07",15150,4460000,3815000,5952000,7960000,3565000,2725000
1,9,92580,9480840483,"Ethiopia",NA,NA,"1985/08/17","1985/08/17",92580,379000,1082000,645000,2241000,352000,571000
1,93,24680,14094687821,"Viet Nam",NA,NA,"1985/09/07","1985/09/07",24680,2357000,2777000,2676000,3649000,2922000,1144000
1,12,7760,5044592945,"Dominican Republic (the)",NA,NA,"1985/09/14","1985/09/14",7760,366000,1081000,433000,528000,287000,606000
1,18,13910,38900692712,"Thailand",NA,NA,"1985/10/12","1985/10/12",13910,3123000,4291000,3337000,4686000,2508000,2452000
1,29,80,3959379400,"Bolivia (Plurinational State of)",NA,NA,"1986/01/06","1986/01/06",80,1035000,4011000,1196000,4015000,865000,761000
1,77,10,79954072569,"Indonesia",NA,NA,"1986/01/16","1986/01/16",10,50194000,22215000,3532000,70869000,35725000,14321000
26,3,269500,1.11e+11,"Argentina",NA,NA,"1986/04/11","1986/05/06",269500,9577000,3762000,8836000,8729000,9504000,9215000
1,54,160,2754566176,"Jamaica",NA,NA,"1986/05/15","1986/05/15",160,872000,12225000,1380000,3109000,720000,1216000
1,4,196,21774033333,"Bangladesh",NA,NA,"1986/08/02","1986/08/02",196,1760000,7650000,4798000,5327000,2320000,6834000
12,200,155900,2.09e+11,"Iran (Islamic Republic of)",NA,NA,"1986/11/30","1986/12/11",155900,118234000,644862000,179767000,211536000,148724000,329663000
1,92,3000,2.73e+11,"China",NA,NA,"1987/05/21","1987/05/21",3000,66585000,39909000,72777000,71948000,63958000,20801000
1,2055,18972,24298032258,"Bangladesh",NA,NA,"1987/07/22","1987/07/22",18972,20682000,218787000,63496000,36113000,58848000,55251000
1,59,3000,2.79e+11,"India",NA,NA,"1987/09/18","1987/09/18",3000,54246000,53296000,73912000,56743000,46815000,31220000
1,24,1370,50535438696,"Thailand",NA,NA,"1987/11/30","1987/11/30",1370,7160000,18240000,15001000,11712000,5561000,20896000
1,158,3500,3.12e+11,"China",NA,NA,"1988/05/20","1988/05/20",3500,97509000,66867000,65996000,119245000,111926000,66690000
1,204,300,3.12e+11,"China",NA,NA,"1988/08/06","1988/08/06",300,173583000,355578000,458455000,394703000,186593000,554879000
1,33,95,4189880000,"El Salvador",NA,NA,"1988/08/24","1988/08/24",95,1134000,3168000,1266000,4425000,937000,805000
1,43,124,1482597299,"Chad",NA,NA,"1988/08/24","1988/08/24",124,438000,1041000,405000,1657000,359000,655000
1,10,710,1.02e+12,"France",NA,NA,"1988/10/03","1988/10/03",710,104171000,399612000,197703000,247036000,91879000,146361000
1,12,20,1113924130,"Burundi",NA,NA,"1989/02/02","1989/02/02",20,239000,267000,122000,728000,233000,333000
1,13,9169,1590215583,"Malawi",NA,NA,"1989/03/14","1989/03/14",9169,117000,72000,136000,170000,91000,65000
1,325,2735,6987267684,"Sri Lanka",NA,NA,"1989/05/30","1989/05/30",2735,3300000,26167000,11741000,5633000,4741000,1597000
1,20,2692,40171018229,"Pakistan",NA,NA,"1989/08/04","1989/08/04",2692,4587000,5973000,4530000,5903000,3529000,7580000
1,35,7072,3.47e+11,"Brazil",NA,NA,"1989/12/28","1989/12/28",7072,44230000,15902000,44001000,45233000,36526000,19648000
3,3,86750,5.96e+12,"United States of America (the)",NA,NA,"1990/01/09","1990/01/11",86750,229990000,102024000,229256000,342849000,219444000,223163000
13,37,127700,12290568182,"Tunisia",NA,NA,"1990/01/20","1990/02/01",127700,3164000,21080000,2740000,1951000,2439000,1466000
7,169,23640,1.06e+11,"Indonesia",NA,NA,"1990/01/26","1990/02/01",23640,60238000,7448000,33245000,57394000,65916000,13690000
28,363,206500,3.61e+11,"China",NA,NA,"1990/06/05","1990/07/02",206500,391035000,945236000,721377000,570155000,552521000,946997000
6,21,17800,3.21e+11,"India",NA,NA,"1990/06/13","1990/06/18",17800,61661000,11213000,35549000,36085000,47102000,18857000
3,98,3620,50508286642,"Philippines (the)",NA,NA,"1990/06/17","1990/06/19",3620,20560000,519000,7427000,7009000,18879000,2221000
4,51,20700,1.51e+11,"Turkey",NA,NA,"1990/06/18","1990/06/21",20700,36711000,80293000,38612000,16992000,30474000,22615000
19,82,13950,6471740806,"Viet Nam",NA,NA,"1990/06/20","1990/07/08",13950,4466000,1234000,2737000,3380000,3862000,1088000
16,72,438800,3.61e+11,"China",NA,NA,"1990/07/04","1990/07/19",438800,114954000,149341000,106836000,97283000,108477000,152179000
55,65,23610,31598341233,"Bangladesh",NA,NA,"1990/07/14","1990/09/06",23610,28943000,12895000,15166000,23905000,24157000,35634000
4,127,10440,2.83e+11,"Korea (the Republic of)",NA,NA,"1990/09/11","1990/09/14",10440,124105000,47211000,73910000,49518000,124792000,36669000
13,5,41830,4923009552,"Honduras",NA,NA,"1990/11/09","1990/11/21",41830,559000,6049000,771000,663000,538000,1997000
23,6,96490,3.11e+11,"Australia",NA,NA,"1990/12/25","1991/01/16",96490,43490000,76845000,49130000,30367000,38809000,21260000
6,472,3060,2203545857,"Malawi",NA,NA,"1991/03/10","1991/03/15",3060,2853000,8975000,5161000,2842000,4054000,3948000
13,20,89510,3.43e+11,"Brazil",NA,NA,"1991/03/19","1991/03/31",89510,68816000,14664000,53938000,40381000,50751000,56289000
